-fno-vectorize,-DN=512,-O0,Run_Iteration,Result,N,gflops_per_sec
True,-DN=1024,-O2,6,0.147302,1024,14.585899879159824
True,-DN=2000,-O2,6,0.146115,2000,109.53016459637958
True,-DN=2048,-O2,6,0.145252,2048,118.30517643819019
False,-DN=512,-O2,6,0.157525,512,1.7057457546421202
False,-DN=513,-O2,6,0.145991,513,1.8513097588207492
False,-DN=1000,-O2,6,0.148935,1000,13.435391278074325
False,-DN=1024,-O2,6,0.146007,1024,14.715268610409092
False,-DN=2000,-O2,6,0.148621,2000,107.68330182141152
False,-DN=2048,-O2,6,0.149953,2048,114.59633010343241
True,-DN=512,-O2,7,0.147503,512,1.821641593730297
True,-DN=513,-O2,7,0.145512,513,1.8574039460663039
True,-DN=1000,-O2,7,0.151718,1000,13.188942643588764
True,-DN=1024,-O2,7,0.151872,1024,14.146993678887485
True,-DN=2000,-O2,7,0.149962,2000,106.72036916018725
True,-DN=2048,-O2,7,0.147813,2048,116.25542738460081
False,-DN=512,-O2,7,0.153375,512,1.7518995925020373
False,-DN=513,-O2,7,0.146282,513,1.8476269329104062
False,-DN=1000,-O2,7,0.151466,1000,13.210885611292303
False,-DN=1024,-O2,7,0.147748,1024,14.541870103148607
False,-DN=2000,-O2,7,0.147384,2000,108.58709222167944
False,-DN=2048,-O2,7,0.150884,2048,113.8892360223748
True,-DN=512,-O2,8,0.148236,512,1.812633908092501
True,-DN=513,-O2,8,0.146132,513,1.8495234650863603
True,-DN=1000,-O2,8,0.147911,1000,13.528405595256608
True,-DN=1024,-O2,8,0.148147,1024,14.502704907963038
True,-DN=2000,-O2,8,0.148214,2000,107.97900333301847
True,-DN=2048,-O2,8,0.147442,2048,116.54795436849744
False,-DN=512,-O2,8,0.153373,512,1.7519224374563969
False,-DN=513,-O2,8,0.150324,513,1.7979468547936457
False,-DN=1000,-O2,8,0.146535,1000,13.655440679701094
False,-DN=1024,-O2,8,0.146011,1024,14.714865482737602
False,-DN=2000,-O2,8,0.147033,2000,108.84631341263527
False,-DN=2048,-O2,8,0.147643,2048,116.38928691505862
True,-DN=512,-O2,9,0.148451,512,1.810008689736007
True,-DN=513,-O2,9,0.149237,513,1.811042589974336
True,-DN=1000,-O2,9,0.149845,1000,13.353798925556408
True,-DN=1024,-O2,9,0.14819,1024,14.498496686686014
True,-DN=2000,-O2,9,0.147241,2000,108.69255166699493
True,-DN=2048,-O2,9,0.147463,2048,116.53135693699436
False,-DN=512,-O2,9,0.1447,512,1.856928818244644
False,-DN=513,-O2,9,0.147447,513,1.8330285661966674
False,-DN=1000,-O2,9,0.151272,1000,13.227828018403935
False,-DN=1024,-O2,9,0.146714,1024,14.644357211990677
False,-DN=2000,-O2,9,0.147693,2000,108.35990872959451
False,-DN=2048,-O2,9,0.149257,2048,115.13070400718225
True,-DN=512,-O2,10,0.150905,512,1.7805745336469962
True,-DN=513,-O2,10,0.150617,513,1.794449252076459
True,-DN=1000,-O2,10,0.147232,1000,13.590795479243642
True,-DN=1024,-O2,10,0.146956,1024,14.62024159612401
True,-DN=2000,-O2,10,0.15065,2000,106.2329903750415
True,-DN=2048,-O2,10,0.148155,2048,115.98706414228342
False,-DN=512,-O2,10,0.148322,512,1.8115829074580976
False,-DN=513,-O2,10,0.149473,513,1.8081831702046525
False,-DN=1000,-O2,10,0.147609,1000,13.55608397861919
False,-DN=1024,-O2,10,0.149637,1024,14.358295234467413
False,-DN=2000,-O2,10,0.148481,2000,107.78483442325955
False,-DN=2048,-O2,10,0.148431,2048,115.77139201379765
