Opt_Level,Region,Size,Run_Iteration,Result
-O2,-DTIME_REGION=5,-DSIZE=2048,5,0.015449
-O2,-DTIME_REGION=6,-DSIZE=128,5,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,5,0.000531
-O2,-DTIME_REGION=6,-DSIZE=2048,5,0.009235
-O3,-DTIME_REGION=0,-DSIZE=128,5,0.000348
-O3,-DTIME_REGION=0,-DSIZE=512,5,0.016954
-O3,-DTIME_REGION=0,-DSIZE=2048,5,1.042139
-O3,-DTIME_REGION=4,-DSIZE=128,5,0.000249
-O3,-DTIME_REGION=4,-DSIZE=512,5,0.016017
-O3,-DTIME_REGION=4,-DSIZE=2048,5,1.03567
-O3,-DTIME_REGION=5,-DSIZE=128,5,3.2e-05
-O3,-DTIME_REGION=5,-DSIZE=512,5,0.000949
-O3,-DTIME_REGION=5,-DSIZE=2048,5,0.015626
-O3,-DTIME_REGION=6,-DSIZE=128,5,3.1e-05
-O3,-DTIME_REGION=6,-DSIZE=512,5,0.000533
-O3,-DTIME_REGION=6,-DSIZE=2048,5,0.008533
-O2,-DTIME_REGION=0,-DSIZE=128,6,0.000401
-O2,-DTIME_REGION=0,-DSIZE=512,6,0.018418
-O2,-DTIME_REGION=0,-DSIZE=2048,6,1.206827
-O2,-DTIME_REGION=4,-DSIZE=128,6,0.000271
-O2,-DTIME_REGION=4,-DSIZE=512,6,0.016617
-O2,-DTIME_REGION=4,-DSIZE=2048,6,1.240978
-O2,-DTIME_REGION=5,-DSIZE=128,6,3e-05
-O2,-DTIME_REGION=5,-DSIZE=512,6,0.000939
-O2,-DTIME_REGION=5,-DSIZE=2048,6,0.015422
-O2,-DTIME_REGION=6,-DSIZE=128,6,3.5e-05
-O2,-DTIME_REGION=6,-DSIZE=512,6,0.000594
-O2,-DTIME_REGION=6,-DSIZE=2048,6,0.009087
-O3,-DTIME_REGION=0,-DSIZE=128,6,0.000311
-O3,-DTIME_REGION=0,-DSIZE=512,6,0.016953
-O3,-DTIME_REGION=0,-DSIZE=2048,6,1.024035
-O3,-DTIME_REGION=4,-DSIZE=128,6,0.000275
-O3,-DTIME_REGION=4,-DSIZE=512,6,0.015484
-O3,-DTIME_REGION=4,-DSIZE=2048,6,1.02462
-O3,-DTIME_REGION=5,-DSIZE=128,6,3.3e-05
-O3,-DTIME_REGION=5,-DSIZE=512,6,0.000947
-O3,-DTIME_REGION=5,-DSIZE=2048,6,0.014439
-O3,-DTIME_REGION=6,-DSIZE=128,6,3e-05
-O3,-DTIME_REGION=6,-DSIZE=512,6,0.000534
-O3,-DTIME_REGION=6,-DSIZE=2048,6,0.008495
-O2,-DTIME_REGION=0,-DSIZE=128,7,0.000348
-O2,-DTIME_REGION=0,-DSIZE=512,7,0.018063
-O2,-DTIME_REGION=0,-DSIZE=2048,7,1.262721
-O2,-DTIME_REGION=4,-DSIZE=128,7,0.000271
-O2,-DTIME_REGION=4,-DSIZE=512,7,0.016423
-O2,-DTIME_REGION=4,-DSIZE=2048,7,1.197468
-O2,-DTIME_REGION=5,-DSIZE=128,7,3.1e-05
-O2,-DTIME_REGION=5,-DSIZE=512,7,0.000967
-O2,-DTIME_REGION=5,-DSIZE=2048,7,0.015097
-O2,-DTIME_REGION=6,-DSIZE=128,7,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,7,0.00053
-O2,-DTIME_REGION=6,-DSIZE=2048,7,0.008935
-O3,-DTIME_REGION=0,-DSIZE=128,7,0.000313
-O3,-DTIME_REGION=0,-DSIZE=512,7,0.016637
-O3,-DTIME_REGION=0,-DSIZE=2048,7,1.03798
-O3,-DTIME_REGION=4,-DSIZE=128,7,0.000275
-O3,-DTIME_REGION=4,-DSIZE=512,7,0.015411
-O3,-DTIME_REGION=4,-DSIZE=2048,7,1.014786
-O3,-DTIME_REGION=5,-DSIZE=128,7,3.1e-05
-O3,-DTIME_REGION=5,-DSIZE=512,7,0.00096
-O3,-DTIME_REGION=5,-DSIZE=2048,7,0.015378
-O3,-DTIME_REGION=6,-DSIZE=128,7,3e-05
-O3,-DTIME_REGION=6,-DSIZE=512,7,0.000534
-O3,-DTIME_REGION=6,-DSIZE=2048,7,0.008486
-O2,-DTIME_REGION=0,-DSIZE=128,8,0.0004
-O2,-DTIME_REGION=0,-DSIZE=512,8,0.018009
-O2,-DTIME_REGION=0,-DSIZE=2048,8,1.288837
-O2,-DTIME_REGION=4,-DSIZE=128,8,0.000302
-O2,-DTIME_REGION=4,-DSIZE=512,8,0.016294
-O2,-DTIME_REGION=4,-DSIZE=2048,8,1.224431
-O2,-DTIME_REGION=5,-DSIZE=128,8,3.1e-05
-O2,-DTIME_REGION=5,-DSIZE=512,8,0.000925
-O2,-DTIME_REGION=5,-DSIZE=2048,8,0.015224
-O2,-DTIME_REGION=6,-DSIZE=128,8,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,8,0.000594
-O2,-DTIME_REGION=6,-DSIZE=2048,8,0.008958
-O3,-DTIME_REGION=0,-DSIZE=128,8,0.000332
-O3,-DTIME_REGION=0,-DSIZE=512,8,0.016892
-O3,-DTIME_REGION=0,-DSIZE=2048,8,1.071396
-O3,-DTIME_REGION=4,-DSIZE=128,8,0.000241
-O3,-DTIME_REGION=4,-DSIZE=512,8,0.015243
-O3,-DTIME_REGION=4,-DSIZE=2048,8,1.03325
-O3,-DTIME_REGION=5,-DSIZE=128,8,3.1e-05
-O3,-DTIME_REGION=5,-DSIZE=512,8,0.000956
-O3,-DTIME_REGION=5,-DSIZE=2048,8,0.015049
-O3,-DTIME_REGION=6,-DSIZE=128,8,3.1e-05
-O3,-DTIME_REGION=6,-DSIZE=512,8,0.000551
-O3,-DTIME_REGION=6,-DSIZE=2048,8,0.008621
-O2,-DTIME_REGION=0,-DSIZE=128,9,0.000347
-O2,-DTIME_REGION=0,-DSIZE=512,9,0.01853
-O2,-DTIME_REGION=0,-DSIZE=2048,9,1.253259
-O2,-DTIME_REGION=4,-DSIZE=128,9,0.000271
-O2,-DTIME_REGION=4,-DSIZE=512,9,0.016596
-O2,-DTIME_REGION=4,-DSIZE=2048,9,1.250316
-O2,-DTIME_REGION=5,-DSIZE=128,9,3.1e-05
-O2,-DTIME_REGION=5,-DSIZE=512,9,0.000909
-O2,-DTIME_REGION=5,-DSIZE=2048,9,0.015284
-O2,-DTIME_REGION=6,-DSIZE=128,9,3.5e-05
-O2,-DTIME_REGION=6,-DSIZE=512,9,0.000569
-O2,-DTIME_REGION=6,-DSIZE=2048,9,0.008961
-O3,-DTIME_REGION=0,-DSIZE=128,9,0.000312
-O3,-DTIME_REGION=0,-DSIZE=512,9,0.01654
-O3,-DTIME_REGION=0,-DSIZE=2048,9,1.081285
-O3,-DTIME_REGION=4,-DSIZE=128,9,0.00041
-O3,-DTIME_REGION=4,-DSIZE=512,9,0.016081
-O3,-DTIME_REGION=4,-DSIZE=2048,9,1.032174
-O3,-DTIME_REGION=5,-DSIZE=128,9,3.1e-05
-O3,-DTIME_REGION=5,-DSIZE=512,9,0.000938
-O3,-DTIME_REGION=5,-DSIZE=2048,9,0.015031
-O3,-DTIME_REGION=6,-DSIZE=128,9,3.1e-05
-O3,-DTIME_REGION=6,-DSIZE=512,9,0.000499
-O3,-DTIME_REGION=6,-DSIZE=2048,9,0.008537
-O2,-DTIME_REGION=0,-DSIZE=128,10,0.000389
-O2,-DTIME_REGION=0,-DSIZE=512,10,0.018484
-O2,-DTIME_REGION=0,-DSIZE=2048,10,1.223991
-O2,-DTIME_REGION=4,-DSIZE=128,10,0.000301
-O2,-DTIME_REGION=4,-DSIZE=512,10,0.016266
-O2,-DTIME_REGION=4,-DSIZE=2048,10,1.334732
-O2,-DTIME_REGION=5,-DSIZE=128,10,2.9e-05
-O2,-DTIME_REGION=5,-DSIZE=512,10,0.000971
-O2,-DTIME_REGION=5,-DSIZE=2048,10,0.014866
-O2,-DTIME_REGION=6,-DSIZE=128,10,3.3e-05
-O2,-DTIME_REGION=6,-DSIZE=512,10,0.00053
-O2,-DTIME_REGION=6,-DSIZE=2048,10,0.00896
-O3,-DTIME_REGION=0,-DSIZE=128,10,0.000346
-O3,-DTIME_REGION=0,-DSIZE=512,10,0.016847
-O3,-DTIME_REGION=0,-DSIZE=2048,10,1.102184
-O3,-DTIME_REGION=4,-DSIZE=128,10,0.000292
-O3,-DTIME_REGION=4,-DSIZE=512,10,0.015392
-O3,-DTIME_REGION=4,-DSIZE=2048,10,1.055929
-O3,-DTIME_REGION=5,-DSIZE=128,10,3e-05
-O3,-DTIME_REGION=5,-DSIZE=512,10,0.000958
-O3,-DTIME_REGION=5,-DSIZE=2048,10,0.015546
-O3,-DTIME_REGION=6,-DSIZE=128,10,3.1e-05
-O3,-DTIME_REGION=6,-DSIZE=512,10,0.000552
-O3,-DTIME_REGION=6,-DSIZE=2048,10,0.00855
